Time 4505,Angle 4505
10.33,-4.628750986
10.34,-4.656117164
10.35,-4.683550371
10.36,-4.711039209
10.37,-4.738573122
10.38,-4.766142271
10.39,-4.793737411
10.4,-4.821349772
10.41,-4.848970938
10.42,-4.876592727
10.43,-4.904207087
10.44,-4.931805982
10.45,-4.959381299
10.46,-4.986924752
10.47,-5.0144278
10.48,-5.041881571
10.49,-5.0692768
10.5,-5.096603767
10.51,-5.123852256
10.52,-5.151011518
10.53,-5.178070247
10.54,-5.205016565
10.55,-5.231838028
10.56,-5.258521616
10.57,-5.285053762
10.58,-5.311420372
10.59,-5.337606865
10.6,-5.363598217
10.61,-5.389379
10.62,-5.414933442
10.63,-5.440245486
10.64,-5.465298847
10.65,-5.490077077
10.66,-5.514563626
10.67,-5.538741905
10.68,-5.562595343
10.69,-5.58610745
10.7,-5.609261868
10.71,-5.63204242
10.72,-5.654433156
10.73,-5.676418399
10.74,-5.697982783
10.75,-5.719111281
10.76,-5.73978924
10.77,-5.760002408
10.78,-5.779736953
10.79,-5.798979488
10.8,-5.817717088
10.81,-5.835937304
10.82,-5.853628182
10.83,-5.870778274
10.84,-5.88737665
10.85,-5.903412911
10.86,-5.918877201
10.87,-5.933760216
10.88,-5.948053214
10.89,-5.961748026
10.9,-5.974837067
10.91,-5.987313339
10.92,-5.999170448
10.93,-6.010402604
10.94,-6.021004629
10.95,-6.030971968
10.96,-6.04030069
10.97,-6.048987492
10.98,-6.057029701
10.99,-6.064425281
11,-6.071172826
11.01,-6.077271565
11.02,-6.082721358
11.03,-6.087522691
11.04,-6.091676673
11.05,-6.095185033
11.06,-6.098050104
11.07,-6.100274827
11.08,-6.10186273
11.09,-6.102817925
11.1,-6.103145093
11.11,-6.102849472
11.12,-6.101936845
11.13,-6.100413521
11.14,-6.098286327
11.15,-6.095562583
11.16,-6.092250094
11.17,-6.088357125
11.18,-6.083892387
11.19,-6.078865015
11.2,-6.073284554
11.21,-6.067160934
11.22,-6.06050445
11.23,-6.053325746
11.24,-6.045635791
11.25,-6.037445855
11.26,-6.028767493
11.27,-6.019612526
11.28,-6.009993008
11.29,-5.999921219
11.3,-5.989409637
11.31,-5.978470918
11.32,-5.967117875
11.33,-5.955363463
11.34,-5.943220754
11.35,-5.930702919
11.36,-5.917823214
11.37,-5.904594958
11.38,-5.891031516
11.39,-5.877146282
11.4,-5.862952665
11.41,-5.848464072
11.42,-5.833693891
11.43,-5.818655476
11.44,-5.803362136
11.45,-5.787827116
11.46,-5.772063586
11.47,-5.756084628
11.48,-5.739903217
11.49,-5.723532216
11.5,-5.706984353
11.51,-5.690272217
11.52,-5.673408236
11.53,-5.656404672
11.54,-5.639273602
11.55,-5.622026907
11.56,-5.60467626
11.57,-5.587233112
11.58,-5.569708683
11.59,-5.552113945
11.6,-5.534459612
11.61,-5.516756135
11.62,-5.499013682
11.63,-5.481242137
11.64,-5.463451086
11.65,-5.445649814
11.66,-5.427847292
11.67,-5.410052177
11.68,-5.392272806
11.69,-5.374517191
11.7,-5.356793019
11.71,-5.339107649
11.72,-5.321468118
11.73,-5.303881133
11.74,-5.286353087
11.75,-5.268890042
11.76,-5.25149776
11.77,-5.234181692
11.78,-5.216946983
11.79,-5.199798494
11.8,-5.1827408
11.81,-5.165778201
11.82,-5.148914729
11.83,-5.132154162
11.84,-5.115500033
11.85,-5.09895564
11.86,-5.082524057
11.87,-5.066208143
11.88,-5.050010556
11.89,-5.033933758
11.9,-5.017980029
11.91,-5.002151479
11.92,-4.98645005
11.93,-4.970877532
11.94,-4.955435568
11.95,-4.940125664
11.96,-4.924949194
11.97,-4.909907409
11.98,-4.895001445
11.99,-4.880232323
12,-4.865600962
12.01,-4.851108178
12.02,-4.836754688
12.03,-4.822541118
12.04,-4.808468002
12.05,-4.794535783
12.06,-4.78074482
12.07,-4.767095383
12.08,-4.753587659
12.09,-4.740221748
12.1,-4.726997665
12.11,-4.713915338
12.12,-4.700974606
12.13,-4.688175221
12.14,-4.675516841
12.15,-4.662999032
12.16,-4.650621263
12.17,-4.638382903
12.18,-4.62628322
12.19,-4.614321374
12.2,-4.602496418
12.21,-4.590807291
12.22,-4.579252816
12.23,-4.567831695
12.24,-4.556542507
12.25,-4.545383702
12.26,-4.534353599
12.27,-4.523450381
12.28,-4.512672091
12.29,-4.502016629
12.3,-4.491481749
12.31,-4.481065053
12.32,-4.470763991
12.33,-4.460575854
12.34,-4.450497773
12.35,-4.440526715
12.36,-4.430659479
12.37,-4.420892697
12.38,-4.411222824
12.39,-4.401646144
12.4,-4.392158757
12.41,-4.382756587
12.42,-4.373435371
12.43,-4.36419066
12.44,-4.355017817
12.45,-4.345912013
12.46,-4.336868223
12.47,-4.327881227
12.48,-4.318945604
12.49,-4.310055729
12.5,-4.301205774
12.51,-4.2923897
12.52,-4.283601255
12.53,-4.274833973
12.54,-4.266081167
12.55,-4.257335926
12.56,-4.248591111
12.57,-4.239839351
12.58,-4.231073037
12.59,-4.222284316
12.6,-4.213465089
12.61,-4.204607
12.62,-4.195701434
12.63,-4.186739508
12.64,-4.177712064
12.65,-4.168609663
12.66,-4.159422576
12.67,-4.150140776
12.68,-4.14075393
12.69,-4.13125139
12.7,-4.121622186
