Time 351,Angle 351
8.42,-8.622299021
8.43,-8.643994587
8.44,-8.665476634
8.45,-8.686740162
8.46,-8.707780292
8.47,-8.72859227
8.48,-8.749171475
8.49,-8.76951343
8.5,-8.789613801
8.51,-8.809468408
8.52,-8.829073224
8.53,-8.848424378
8.54,-8.867518155
8.55,-8.886350999
8.56,-8.904919507
8.57,-8.923220427
8.58,-8.94125066
8.59,-8.959007249
8.6,-8.97648738
8.61,-8.993688372
8.62,-9.010607675
8.63,-9.027242864
8.64,-9.043591629
8.65,-9.059651777
8.66,-9.075421216
8.67,-9.090897954
8.68,-9.106080096
8.69,-9.120965834
8.7,-9.135553442
8.71,-9.149841274
8.72,-9.163827758
8.73,-9.177511387
8.74,-9.190890724
8.75,-9.203964391
8.76,-9.21673107
8.77,-9.229189498
8.78,-9.241338468
8.79,-9.253176822
8.8,-9.264703455
8.81,-9.275917311
8.82,-9.286817381
8.83,-9.297402706
8.84,-9.307672374
8.85,-9.317625523
8.86,-9.327261338
8.87,-9.336579053
8.88,-9.345577953
8.89,-9.354257373
8.9,-9.362616702
8.91,-9.37065538
8.92,-9.378372903
8.93,-9.385768821
8.94,-9.392842745
8.95,-9.399594342
8.96,-9.40602334
8.97,-9.412129527
8.98,-9.417912758
8.99,-9.423372953
9,-9.428510093
9.01,-9.433324231
9.02,-9.437815484
9.03,-9.44198404
9.04,-9.445830158
9.05,-9.449354171
9.06,-9.452556482
9.07,-9.455437565
9.08,-9.457997969
9.09,-9.460238317
9.1,-9.462159307
9.11,-9.463761709
9.12,-9.46504637
9.13,-9.466014209
9.14,-9.466666221
9.15,-9.467003474
9.16,-9.467027109
9.17,-9.46673834
9.18,-9.466138454
9.19,-9.465228808
9.2,-9.464010829
9.21,-9.462486015
9.22,-9.460655931
9.23,-9.458522208
9.24,-9.456086544
9.25,-9.4533507
9.26,-9.4503165
9.27,-9.446985828
9.28,-9.443360627
9.29,-9.439442898
9.3,-9.435234697
9.31,-9.430738132
9.32,-9.425955363
9.33,-9.420888601
9.34,-9.415540103
9.35,-9.409912168
9.36,-9.404007141
9.37,-9.397827407
9.38,-9.391375391
9.39,-9.384653551
9.4,-9.377664382
9.41,-9.370410409
9.42,-9.36289419
9.43,-9.355118308
9.44,-9.347085373
9.45,-9.338798022
9.46,-9.330258911
9.47,-9.321470718
9.48,-9.312436142
9.49,-9.303157899
9.5,-9.293638722
9.51,-9.28388136
9.52,-9.273888576
9.53,-9.263663149
9.54,-9.253207872
9.55,-9.242525548
9.56,-9.231618996
9.57,-9.220491049
9.58,-9.209144551
9.59,-9.197582362
9.6,-9.185807355
9.61,-9.173822419
9.62,-9.16163046
9.63,-9.149234401
9.64,-9.136637184
9.65,-9.123841772
9.66,-9.110851151
9.67,-9.09766833
9.68,-9.084296344
9.69,-9.070738255
9.7,-9.05699716
9.71,-9.043076182
9.72,-9.028978483
9.73,-9.014707258
9.74,-9.000265743
9.75,-8.985657215
9.76,-8.970884991
9.77,-8.955952431
9.78,-8.940862944
9.79,-8.925619985
9.8,-8.910227054
9.81,-8.894687699
9.82,-8.879005518
9.83,-8.863184158
9.84,-8.847227312
9.85,-8.83113872
9.86,-8.814922168
9.87,-8.798581484
9.88,-8.78212054
9.89,-8.765543246
9.9,-8.748853546
9.91,-8.732055418
9.92,-8.715152868
9.93,-8.698149924
9.94,-8.681050633
9.95,-8.663859056
9.96,-8.646579263
9.97,-8.629215329
9.98,-8.611771322
9.99,-8.594251306
10,-8.576659329
10.01,-8.558999419
10.02,-8.541275578
10.03,-8.523491781
10.04,-8.505651963
10.05,-8.487760019
10.06,-8.469819803
10.07,-8.451835114
10.08,-8.433809701
10.09,-8.415747258
10.1,-8.397651419
10.11,-8.379525759
10.12,-8.361373788
10.13,-8.343198956
10.14,-8.32500465
10.15,-8.306794191
10.16,-8.288570841
10.17,-8.270337799
10.18,-8.252098207
10.19,-8.233855148
10.2,-8.215611651
10.21,-8.197370694
10.22,-8.179135207
10.23,-8.160908073
10.24,-8.142692136
10.25,-8.124490206
10.26,-8.106305059
10.27,-8.088139441
10.28,-8.069996063
10.29,-8.051877624
10.3,-8.0337868
10.31,-8.015726255
10.32,-7.997698639
10.33,-7.979706593
10.34,-7.961752749
10.35,-7.943839735
10.36,-7.925970177
10.37,-7.908146693
10.38,-7.890371905
10.39,-7.872648426
10.4,-7.854978869
10.41,-7.837365842
10.42,-7.819811947
10.43,-7.802319774
10.44,-7.784891905
10.45,-7.767530904
10.46,-7.750239319
10.47,-7.733019664
10.48,-7.715874438
10.49,-7.698806104
10.5,-7.681817076
10.51,-7.664909723
10.52,-7.648086361
10.53,-7.631349245
10.54,-7.614700568
10.55,-7.598142442
10.56,-7.581676901
10.57,-7.565305885
10.58,-7.549031241
10.59,-7.532854712
10.6,-7.516777926
10.61,-7.5008024
10.62,-7.484929521
10.63,-7.46916055
10.64,-7.45349661
10.65,-7.437938685
10.66,-7.422487614
10.67,-7.407144085
10.68,-7.391908633
10.69,-7.376781643
10.7,-7.361763337
10.71,-7.346853782
10.72,-7.332052884
10.73,-7.31736039
10.74,-7.302775889
10.75,-7.288298811
10.76,-7.273928429
10.77,-7.259663866
10.78,-7.245504094
10.79,-7.231447937
10.8,-7.217494079
10.81,-7.203641062
10.82,-7.189887301
10.83,-7.176231079
10.84,-7.162670559
10.85,-7.14920379
10.86,-7.13582871
10.87,-7.122543154
10.88,-7.109344862
10.89,-7.096231484
10.9,-7.08320059
10.91,-7.070249673
10.92,-7.057376156
10.93,-7.044577404
10.94,-7.031850726
10.95,-7.019193381
10.96,-7.006602591
10.97,-6.994075541
10.98,-6.98160939
10.99,-6.969201272
11,-6.956848311
11.01,-6.944547618
11.02,-6.9322963
11.03,-6.920091467
11.04,-6.907930236
11.05,-6.895809737
11.06,-6.883727115
11.07,-6.87167954
11.08,-6.859664206
11.09,-6.847678337
11.1,-6.835719194
11.11,-6.823784074
11.12,-6.811870316
11.13,-6.799975305
11.14,-6.788096473
11.15,-6.776231302
11.16,-6.764377331
11.17,-6.752532151
11.18,-6.740693413
11.19,-6.728858829
11.2,-6.71702617
11.21,-6.705193274
11.22,-6.693358043
11.23,-6.681518443
11.24,-6.669672511
11.25,-6.657818349
11.26,-6.64595413
11.27,-6.634078098
11.28,-6.622188563
11.29,-6.61028391
11.3,-6.598362591
11.31,-6.58642313
11.32,-6.574464123
11.33,-6.562484233
11.34,-6.550482197
11.35,-6.538456819
11.36,-6.526406972
11.37,-6.514331598
11.38,-6.502229709
11.39,-6.490100381
11.4,-6.477942757
11.41,-6.465756045
11.42,-6.45353952
11.43,-6.441292517
11.44,-6.429014434
11.45,-6.416704732
11.46,-6.404362931
11.47,-6.39198861
11.48,-6.379581406
11.49,-6.367141014
11.5,-6.354667184
11.51,-6.342159719
11.52,-6.329618475
11.53,-6.317043361
11.54,-6.304434344
11.55,-6.291791433
11.56,-6.27911469
11.57,-6.266404223
11.58,-6.253660189
11.59,-6.240882795
11.6,-6.228072294
11.61,-6.21522898
11.62,-6.202353192
11.63,-6.189445317
11.64,-6.176505785
11.65,-6.163535071
11.66,-6.150533692
11.67,-6.137502209
11.68,-6.124441226
11.69,-6.111351389
11.7,-6.09823339
11.71,-6.085087962
11.72,-6.071915882
11.73,-6.058717972
11.74,-6.045495101
11.75,-6.032248179
11.76,-6.018978165
11.77,-6.005686062
11.78,-5.992372922
11.79,-5.979039842
11.8,-5.965687972
11.81,-5.952318507
11.82,-5.938932695
11.83,-5.925531834
11.84,-5.912117276
11.85,-5.898690423
11.86,-5.885252732
11.87,-5.871805715
11.88,-5.858350941
11.89,-5.844890033
11.9,-5.831424669
11.91,-5.817956588
11.92,-5.804487587
11.93,-5.791019521
11.94,-5.7775543
11.95,-5.764093897
11.96,-5.750640343
11.97,-5.737195729
11.98,-5.723762201
11.99,-5.710341966
12,-5.696937289
12.01,-5.683550492
12.02,-5.670183951
12.03,-5.656840099
12.04,-5.643521422
12.05,-5.630230459
12.06,-5.6169698
12.07,-5.603742083
12.08,-5.590549994
12.09,-5.577396264
12.1,-5.564283667
12.11,-5.551215017
12.12,-5.538193167
12.13,-5.525221007
12.14,-5.512301457
12.15,-5.499437469
12.16,-5.486632022
12.17,-5.473888118
12.18,-5.461208784
12.19,-5.448597061
12.2,-5.436056009
12.21,-5.4235887
12.22,-5.411198215
12.23,-5.398887641
12.24,-5.386660071
12.25,-5.374518596
12.26,-5.362466308
12.27,-5.350506293
12.28,-5.338641631
12.29,-5.32687539
12.3,-5.315210629
12.31,-5.303650392
12.32,-5.292197703
12.33,-5.280855573
12.34,-5.269626986
12.35,-5.25851491
12.36,-5.247522285
12.37,-5.236652024
12.38,-5.225907015
12.39,-5.215290116
12.4,-5.204804155
12.41,-5.194451928
12.42,-5.184236199
12.43,-5.174159697
12.44,-5.164225117
12.45,-5.154435117
12.46,-5.144792321
12.47,-5.135299312
12.48,-5.125958637
12.49,-5.116772802
12.5,-5.107744276
12.51,-5.098875483
12.52,-5.090168811
12.53,-5.081626601
12.54,-5.073251155
12.55,-5.065044729
12.56,-5.057009537
12.57,-5.049147748
12.58,-5.041461484
12.59,-5.033952821
12.6,-5.02662379
12.61,-5.019476373
12.62,-5.012512503
12.63,-5.005734065
12.64,-4.999142892
12.65,-4.992740769
12.66,-4.986529425
12.67,-4.980510539
12.68,-4.974685735
12.69,-4.969056584
12.7,-4.963624598
12.71,-4.958391235
